Gene	Value
ADCY5	1349.0390612894148
ADCY6	4357.618615540586
ADCY7	460.4767837798731
ADCY8	24.308891812418285
ADCY9	1202.5105633782812
ADCYAP1	38.7559975236
ADCYAP1R1	13.03035520816238
ADGRB1	92.8133996285
ADH1A	4.045245511513189
ADH1B	436.3134770145164
ADH1C	354.95242609395393
ADH4	5.039448227806662
ADH5	10774.075259203639
ADH6	21.202793685142108
ADH7	1.2253327658186017
ADI1	13370.7931241
ADIPOQ	5.22426868906
ADIPOR1	7259.38596966419
ADIPOR2	4920.53078083581
ADK	777.683620957
ADO	1708.6695171
ADORA1	32.660578857767966
ADORA2A	162.94058582237616
ADORA2B	132.21769075944204
ADPGK	3913.27916189
ADPRM	1089.69118557
ADRA1A	274.3536023834731
ADRA1B	29.214208326828196
ADRA1D	247.9892431518819
ADRB1	1321.39339885
ADRB2	1344.3380668575583
ADRB3	16.408295929384746
ADSL	2346.05527395
ADSS	3027.8151021539097
ADSSL1	417.55924005609023
AFMID	1843.16189444
AGK	1384.93762575
AGL	2975.6601532266122
AGMAT	117.072152918
AGPAT1	4840.08963627998
AGPAT2	2203.8446834929523
AGPAT3	5470.33435227373
AGPAT4	289.8000889950001
AGPAT5	1955.5280142427587
AGPS	1243.15285946
AGRP	0.681608884074
AGT	1918.99897462
AGTR1	830.082069339
AGTR2	0.296819377805
AGXT	3.25458520353
AGXT2	0.231194861477
AHCY	13356.758996252647
AHCYL1	8034.072279807474
AHCYL2	1691.35333152372
AIFM1	2518.11223108
AK1	1402.4491371327529
AK2	4452.440582144843
AK3	5169.43814812
AK4	1065.260253834352
AK5	398.44358458469725
AK7	71.44474539548531
AK8	110.87198189153897
AK9	320.2458210802588
AKR1A1	7750.22647423
AKR1B1	7882.017566931438
AKR1B10	12.178532734852155
AKR1C1	390.27729917910074
AKR1C2	183.10128076102407
AKR1C3	368.3442772016916
AKR1C4	0.3713434452869952
AKR1D1	3.30746014549
AKR7A2	2976.1918240195746
AKR7A3	39.53968039012388
AKT1	13818.302178463717
AKT2	7228.648951414984
AKT3	3702.185961921298
ALAD	4114.35323479
ALAS1	2942.051269153574
ALAS2	2.7588028169002503
ALCAM	10481.6152492
ALDH18A1	5705.6031961
ALDH1A1	6188.185284783907
ALDH1A2	1927.2435961960925
ALDH1A3	29163.87607010581
ALDH1B1	4432.56005261358
ALDH1L1	1594.340465875229
ALDH1L2	471.55827271477096
ALDH2	9913.285830350009
ALDH3A1	123.25553319940805
ALDH3A2	9722.103583016735
ALDH3B1	372.71608497156524
ALDH3B2	1748.681705620391
ALDH4A1	6799.26114379
ALDH5A1	1927.39258629
ALDH6A1	2692.4019579
ALDH7A1	6263.866700198446
ALDH9A1	8752.83771862
ALDOA	44752.429232088885
ALDOB	8.456063302883361
ALDOC	1284.4241796910594
ALLC	2.35002321622
ALOX12	12.1910735567
ALOX12B	11.0941394521
ALOX15	209.64784863
ALOX15B	13666.767586271295
ALOX5	1167.43454961
ALPI	0.1674663364801371
ALPL	642.1548328430692
ALPP	1.0999651756700164
ALYREF	2167.9046006819085
AMACR	18086.3557305
AMD1	26185.7878935
AMDHD1	8.1078199969
AMDHD2	621.602461887
AMH	28.8652104937
AMOTL1	8621.68681319
AMPD1	51.162610277117615
AMPD2	2385.944339111561
AMPD3	1304.5358497135664
AMT	1010.08361805
AMY1A	5.79629701282664
AMY2A	2.5306260640729463
AMY2B	261.66847720900324
ANAPC1	1383.7925243781574
ANAPC10	259.60935768489406
ANAPC11	3772.305119193872
ANAPC13	3814.418727941338
ANAPC2	2528.1714324438603
ANAPC4	1048.1816088851263
ANAPC5	6316.563380295011
ANAPC7	2636.879120880043
ANGPTL4	1098.39790667
ANO2	43.107413713
ANPEP	20778.4538284
AOC1	3215.59723727
AOC2	45.51420058818141
AOC3	6986.19360393442
AOX1	3218.7103583
APAF1	1008.38553243
APEX1	7182.28488237
APEX2	1348.27116545
APIP	1294.39696061
APOA1	11.5793220864
APOA2	7.35636898313
APOA5	1.29803822938
APOC3	1.74357684569
APRT	6178.42189677
AQP1	8183.58436001
AQP7	15.4029368519
AQR	2259.37751509
ARAF	4670.090407810953
ARAP3	735.714769386
ARG1	7.650015477466393
ARG2	13134.637978427685
ARHGAP35	6327.936987313491
ARHGAP5	5219.61099288651
ARRB1	1506.928165145224
ARRB2	973.1150750647759
ARSA	3141.07868364
ASAH1	13963.032066071213
ASAH2	16.68323401949491
ASGR1	26.21809704381766
ASGR2	10.76843754838234
ASH1L	5640.769144094428
ASIP	4.61490094413
ASL	1789.35112599
ASMT	1.47534360006
ASNS	1310.52499613
ASPA	113.306086519
ASS1	6332.54743848
ATF1	1148.04130553
ATF2	1215.296084194987
ATF4	18559.7748475
ATF6B	6157.960143365729
ATIC	3416.54383996
ATM	2515.098660035839
ATP12A	222.37095650830446
ATP1A1	46962.219766894355
ATP1A2	3505.87939173327
ATP1A3	36.90494892433992
ATP1A4	18.917466336502645
ATP1B1	5053.252698304916
ATP1B2	336.46697492647877
ATP1B3	4626.003946756939
ATP1B4	24.198305215945442
ATP2A1	128.31004236953194
ATP2A2	16144.419594472092
ATP2A3	4271.477847859814
ATP2B1	2537.0872156090536
ATP2B2	10.300282464055885
ATP2B3	5.275441108208406
ATP2B4	9137.66781461396
ATP4A	0.3578586906055498
ATP4B	2.372794459053977
ATP5A1	25863.1159457
ATP5B	30933.1377931
ATP5C1	6677.629295
ATP5D	4037.66750503
ATP5E	8242.64233478
ATP5F1	7476.90669556
ATP5H	5553.97525538
ATP5I	3771.83156826
ATP5J	3892.50011531
ATP5J2	4941.6875029
ATP5L	7561.17040706
ATP5MC1	1.0
ATP5MC2	1.0
ATP5O	6566.43743229
ATP6AP1	16085.36247321209
ATP6AP2	7525.57512382
ATP6V0A1	4265.1341123552875
ATP6V0A2	1233.8454380089602
ATP6V0A4	88.06530123025587
ATP6V0B	8063.004797999713
ATP6V0C	7965.799364047683
ATP6V0D1	5889.295348995841
ATP6V0D2	92.77905896892084
ATP6V0E1	9880.33309469636
ATP6V0E2	8161.128669884308
ATP6V1A	4781.495859758253
ATP6V1B1	163.50394675683086
ATP6V1B2	4167.222082486553
ATP6V1C1	3167.7130281650266
ATP6V1C2	354.1308419733475
ATP6V1D	3600.9749264713073
ATP6V1E1	6266.864707457389
ATP6V1E2	241.73928184430434
ATP6V1F	4454.058694458442
ATP6V1G1	12799.624806468888
ATP6V1G2	76.26041789170712
ATP6V1G3	13.204631635927951
ATP6V1H	3458.273100133982
ATR	1568.20101377
AUH	1783.94536449
AVPR1A	82.12825027098324
AVPR1B	2.4730304906304936
AWAT2	0.4449388639532868
AZIN2	315.486225043
B4GALT1	9138.060458935139
B4GALT2	2810.0932518253358
B4GALT6	624.003656555
BAAT	4.4302739514
BAD	3351.79023023
BAIAP2	9081.60532367
BAX	1849.93155084
BBC3	269.789738431
BBOX1	236.700433369
BCAR1	3187.68509132
BCAS2	2034.44468368
BCAT1	279.54084120152964
